SLUG,FULL PATH
TLD with Prefix,https://whitelabel-loyalty.com/case-studies
akzonobel,https://whitelabel-loyalty.com/case-studies/akzonobel
wesleyan,https://whitelabel-loyalty.com/case-studies/wesleyan
lacasita,https://whitelabel-loyalty.com/case-studies/lacasita
wotzon-rewards,https://whitelabel-loyalty.com/case-studies/wotzon-rewards
emmasdiary,https://whitelabel-loyalty.com/case-studies/emmasdiary
wavin,https://whitelabel-loyalty.com/case-studies/wavin
skb-bank,https://whitelabel-loyalty.com/case-studies/skb-bank
biscuit,https://whitelabel-loyalty.com/case-studies/biscuit
burger-king-emea,https://whitelabel-loyalty.com/case-studies/burger-king-emea
pepsico,https://whitelabel-loyalty.com/case-studies/pepsico
dubai-holding,https://whitelabel-loyalty.com/case-studies/dubai-holding
